"State","n_cattle","n_cattle_sd","area_ha","pastue_tot_201819_ha","stocking_rate_ha","municipality","mod_deg_perc_201819","sev_deg_perc_201819","crop_201819_perc","mod_pasture_deg_sum_201819_ha","sev_pasture_deg_sum_201819_ha","crop_201819_tot_ha","forest_tot_2013_2014_ha","forest_perc_2013_2014","defo_perc_2013_14","defo_perc_2014_15","defo_perc_2015_16","defo_perc_2016_17","defo_perc_13_17","forest_201819_perc","nearest_fedSh_km","agricultural_credits_1000R","mean_market_share_g4_1317","imagedate"
"AC",24,0.038423368514246,74.437,73.3618,0.425,"1200013",52.55,0,0,39.204,0,0,8.9768,12.033,0,0,6.379,3.073,9.452,1.66,0.759018271518077,0.824738468,0,2019-07-11
"AC",10,0.1,9.997,10.0198,1.297,"1200013",34.51,0,0,3.4574,0,0,0,0,0,0,0,0,0,0,0.772594834911714,0.824738468,0,2020-05-17
"AC",21,0.0412671608303619,94.736,55.454,0.492,"1200013",29.31,0,0,27.8301,0,0,33.3561,35.131,0,2.333,0,0,2.333,41.6,0.821090398545799,0.824738468,0,2019-07-11
"AC",24,0.0951074677462425,77.941,60.9933,0.512,"1200013",38.55,14.67,0,30.1157,11.4624,0,6.0523,7.748,0,0,1.135,0,1.135,9.49,0.779821325836737,0.824738468,0,2019-07-11
"AC",6,0.0512090287441405,54.971,54.8888,0.142,"1200013",16.72,0,0,9.2111,0,0,0.2159,0.392,0,0,0,0,0,0.14,0.826472284696124,0.824738468,0,2019-07-11
"AC",6,0.0308423169310316,44.024,15.5361,0.502,"1200013",19.12,3.62,0,8.4345,1.5985,0,28.4091,64.386,0.709,0.873,0,0,1.582,64.79,0.821168476386249,0.824738468,0,2019-07-11
"AC",5,0.0889897948556636,13.625,13.6554,0.476,"1200013",20.75,0,0,2.8335,0,0,0,0,0,0,0,0,0,0,0.77323951860475,0.824738468,0,2020-05-17
"AC",9,0.10544523597953,74.202,59.2832,0.197,"1200013",39.67,13.98,0,29.5004,10.3938,0,6.0709,8.163,0,0,1.192,0,1.192,9.98,0.779936329802614,0.824738468,0,2019-07-11
"AC",33,0.0918558653543692,39.507,36.0995,1.188,"1200013",15.23,0,0,6.0297,0,0,2.2728,5.74,11.768,0,0,0,11.768,7.04,0.828663215048743,0.824738468,0,2019-07-11
"AC",59,0.0411827106300891,97.69,77.6638,0.988,"1200013",21.69,0,0,21.2365,0,0,45.9307,46.912,0,3.168,4.174,4.42,11.762,20.68,0.816240600597402,0.824738468,0,2019-07-11
"AC",19,0.116127682391999,35.668,33.2567,0.743,"1200013",62.33,0,0,22.2827,0,0,2.0447,5.72,0.023,0,0,0,0.023,6.97,0.843054421619567,0.824738468,0,2019-07-11
"AC",59,0.149898715234655,39.718,37.4314,2.049,"1200013",71.04,0,0,28.2785,0,0,0,0,0,0,0,0.227,0.227,0.29,0.817114140809519,0.824738468,0,2019-07-11
"AC",17,0.0486022778734101,70.102,49.1035,0.45,"1200013",44.63,0,0,31.3543,0,0,30.589,43.537,3.776,2.145,0.177,3.483,9.581,30.11,1.07673429106713,0.824738468,0,2020-07-21
"AC",19,0.203822942591142,15.344,15.3784,1.606,"1200013",99.38,0,0,15.2835,0,0,0,0,0,0,0,0,0,0,0.775955834541172,0.824738468,0,2020-05-17
"AC",29,0.154596030728872,100.742,72.6253,0.519,"1200054",0,0,0,0,0,0,47.2456,46.793,7.336,5.425,2.158,3.063,17.982,28.07,0.969745503388396,0,0,2019-04-08
"AC",23,0.131595917942265,42.474,39.8526,0.75,"1200054",31.25,0,0,13.3022,0,0,3.2291,7.586,0,0,0,0,0,6.38,0.913956247562232,0,0,2019-04-08
"AC",12,0.024772148524406,130.935,72.6821,0.215,"1200054",0,0,0,0,0,0,76.9849,58.665,1.953,5.11,0.814,0.674,8.551,44.61,0.963826174415613,0,0,2019-04-08
"AC",16,0.0914939996287905,146.478,104.1902,0.2,"1200054",13.04,0,0,19.1447,0,0,93.7944,63.89,0,3.352,12.824,1.204,17.38,29.03,0.936474749389596,0,0,2019-04-08
"AC",16,0.0380579321649442,96.447,55.7786,0.373,"1200054",0,0,0,0,0,0,44.8672,46.416,1.08,0,1.882,0,2.962,42.19,0.790571420687411,0,0,2019-04-08
"AC",23,0.0688804533657286,117.517,92.5035,0.323,"1200054",7.62,0,0,8.9805,0,0,41.8741,35.553,1.377,1.876,2.476,2.255,7.984,21.46,0.963572119465693,0,0,2019-04-08
"AC",19,0.208309511182358,63.492,48.6122,0.508,"1200054",29.3,0,0,18.6463,0,0,45.9281,72.175,6.403,13.861,8.843,4.999,34.106,23.61,0.950033528453338,0,0,2019-04-08
"AC",16,0.078213504785608,72.476,42.2736,0.492,"1200054",5.99,0,0,4.3521,0,0,30.2953,41.707,0,1.594,0.931,0,2.525,31.47,0.835974053379379,0,0,2019-04-08
